"Audit Id","Timestamp","CreatedBy","Audit Action","Changes Description","Entity Type","Entity Id"
"AUDITDD_52700","1746681952700","user1234","CREATE","","TASK","titlett_52651"
"AUDITDD_16009","1746682016009","user1234","UPDATE","","TASK","titlett_52651"
"AUDITDD_26796","1746682026796","user1234","DELETE","","TASK","titlett_52651"
"AUDITDDDD_29153","1746685829153","user1234","CREATE","","TASK","titlett_29143"
"AUDITDD_39457","1746685839457","user1234","UPDATE","","TASK","titlett_29143""AUDITDD_97145","1746688997145","user1234","CREATE","","PROJECT","taskmangermmmm_97132"
"AUDITDDDD_44756","1746689044756","user1234","UPDATE","","PROJECT","taskmangermmmm_97132"
"AUDITDD_50509","1746815950509","user1234","CREATE","","TASK","tasts_50501"
"AUDITDDD_26090","1746816126090","user1234","CREATE","","PROJECT","newprojctrrr_26090"
"AUDITDDDD_91726","1746817691726","matetttt_16791","CREATE","","TASK","tasctitlett_91718"
"AUDITDD_38672","1746870738672","user1234","CREATE","","TASK","testtaskanddbaftermergedddddd_38667"
"AUDITD_32769","1747065232769","user1234","CREATE","","TASK","refactorcc_32751"
"AUDITDDDD_14350","1747065314357","user1234","UPDATE","","TASK","refactorcc_32751"
"AUDITDDDD_33128","1747065333128","user1234","DELETE","","TASK","testtaskanddbaftermergedddddd_38667"
"AUDITDDDD_468","1747065400468","user1234","UPDATE","","TASK","tasctitlett_91718"
"AUDITDDD_80597","1747419580597","admin_00001","CREATE","","PROJECT","clothestt_80584"
"AUDITDDDD_77118","1747419777118","admin_00001","CREATE","","PROJECT","Taskmkkkk_77109"
"AUDITDD_5241","1747419805241","admin_00001","DELETE","","PROJECT","taskmanageraa_50797"
"AUDITDDDD_10380","1747420210387","admin_00001","UPDATE","","TASK","titlett_29143"
"AUDITD_11426","1747420311426","admin_00001","CREATE","","PROJECT","ttrhrrr_11425"
"AUDITDDDD_50097","1747421150106","admin_00001","UPDATE","","TASK","titlett_29143"
"AUDITDDD_83405","1747421183405","admin_00001","CREATE","","PROJECT","Clothesappeeeee_83404"
"AUDITDDD_28246","1747421328252","admin_00001","UPDATE","","TASK","titlett_29143"
"AUDITDDD_58834","1747421358834","admin_00001","CREATE","","PROJECT","Clothessuggestionappgggg_58833"
